OBJECTID,AREA_S_CD,Neighbourhood,Assault_2014,AutoTheft_2014,BreakandEnter_2014,Robbery_2014,TheftOver_2014,Homicide_2014,Total_2014,Assault_2015,AutoTheft_2015,BreakandEnter_2015,Robbery_2015,TheftOver_2015,Homicide_2015,Total_2015,Assault_2016,AutoTheft_2016,BreakandEnter_2016,Robbery_2016,TheftOver_2016,Homicide_2016,Total_2016,Assault_2017,AutoTheft_2017,BreakandEnter_2017,Robbery_2017,TheftOver_2017,Homicide_2017,Total_2017,Assault_AVG,AutoTheft_AVG,BreakandEnter_AVG,Robbery_AVG,TheftOver_AVG,Homicide_AVG,Total_AVG,Assault_ch,AutoTheft_ch,BreakandEnter_ch,Robbery_ch,TheftOver_ch,Homicide_ch,Total_ch,Population,Assault_Rate,AutoTheft_Rate,BreakandEnter_Rate,Robbery_Rate,TheftOver_Rate,Homicide_Rate,Total_Rate,Shape__Area,Shape__Length
1,097,Yonge-St.Clair (97),16,3,32,2,2,0,55,28,3,13,0,3,0,47,29,5,7,3,7,0,51,20,1,17,2,0,0,40,23,3,17,2,3,0,48,-0.31,-0.8,1.43,-0.33,-1,N/A,-0.22,3189,721.229225462527,94.0733772342427,533.082470994042,62.7155848228285,94.0733772342427,0,1505.17403574788,1161308.83325195,5873.09780628962
2,027,York University Heights (27),269,118,98,60,28,1,574,303,105,134,85,45,0,672,349,106,94,69,35,2,655,344,88,99,72,37,1,641,316,104,106,72,36,1,636,-0.01,-0.17,0.05,0.04,0.06,-50%,-0.02,36764,859.53650310086,282.885431400283,288.325535850288,195.843760200196,97.9218801000979,2.72005222500272,1729.95321510173,13246981.6398926,18504.9362096725
3,038,Lansing-Westgate (38),38,16,41,10,5,0,110,57,20,32,5,5,0,119,55,23,39,4,4,0,125,63,24,40,13,6,0,146,53,21,38,8,5,0,125,0.15,0.04,0.03,2.25,0.5,N/A,0.17,10242,517.477055262644,205.038078500293,371.021284905292,78.1097441905878,48.8185901191174,0,1220.46475297793,5346378.12207031,11112.3164575819
4,031,Yorkdale-Glen Park (31),106,63,51,23,24,1,268,136,53,57,21,14,1,282,174,41,66,24,26,1,332,162,52,58,34,23,1,330,145,52,58,26,22,1,303,-0.07,0.27,-0.12,0.42,-0.12,0%,-0.01,18233,795.261339329787,285.197169966544,318.104535731915,142.598584983272,120.660341139692,5.48456096089508,1661.82197115121,6038420.07592773,10079.4427480978
5,016,Stonegate-Queensway (16),93,35,68,14,8,0,218,70,33,42,9,10,0,164,72,16,52,14,5,0,159,101,32,50,25,6,0,214,84,29,53,16,7,0,189,0.4,1,-0.04,0.79,0.2,N/A,0.35,22207,378.25910748863,130.589453775836,238.663484486874,72.049353807358,31.5215922907191,0,851.082991849417,7946085.61254883,11853.0546212027
6,118,Tam O'Shanter-Sullivan (118),98,23,44,26,3,0,194,79,19,64,32,7,1,202,92,21,59,11,7,0,190,111,18,39,26,7,0,201,95,20,52,24,6,0,197,0.21,-0.14,-0.34,1.36,0,N/A,0.06,43695,217.416180341,45.7718274402106,119.006751344547,54.9261929282527,13.7315482320632,0,450.852500286074,5422444.90356445,10750.5516553195
7,063,The Beaches (63),68,8,36,15,9,0,136,93,21,37,11,5,0,167,80,8,67,17,3,0,175,106,9,32,48,7,0,202,87,12,43,23,6,0,170,0.33,0.13,-0.52,1.82,1.33,N/A,0.15,28378,306.575516244978,42.2862781027557,151.525829868208,81.0486996969483,21.1431390513778,0,599.055606455705,3595846.8737793,11275.3531348567
8,003,Thistletown-Beaumond Heights (3),63,10,22,22,1,0,118,58,14,23,26,3,0,124,50,15,24,21,2,0,112,57,23,17,23,4,0,124,57,16,22,23,3,0,120,0.14,0.53,-0.29,0.1,1,N/A,0.11,16039,355.383752104246,99.7568426959287,137.165658706902,143.400461375397,18.7044080054866,0,748.176320219465,3339612.41357422,10828.7234615876
9,055,Thorncliffe Park (55),85,14,34,16,9,3,161,106,11,28,10,6,0,161,86,4,28,15,12,0,145,98,9,19,9,9,5,149,94,10,27,13,9,2,154,0.14,1.25,-0.32,-0.4,-0.25,N/A,0.03,8352,1125.47892720307,119.731800766284,323.275862068966,155.651340996169,107.758620689655,23.9463601532567,1843.86973180077,3126568.79077148,7502.75974092074
10,059,Danforth East York (59),53,6,25,4,0,0,88,43,9,19,7,2,0,80,28,8,27,6,3,0,72,70,7,28,7,0,0,112,49,8,25,6,1,0,88,1.5,-0.13,0.04,0.17,-1,N/A,0.56,10485,467.334287076776,76.2994754411063,238.435860753457,57.2246065808298,9.53743443013829,0,839.29422985217,2188650.21923828,7624.07023021003
