X,Y,Index_,event_unique_id,occurrencedate,reporteddate,premisetype,ucr_code,ucr_ext,offence,reportedyear,reportedmonth,reportedday,reporteddayofyear,reporteddayofweek,reportedhour,occurrenceyear,occurrencemonth,occurrenceday,occurrencedayofyear,occurrencedayofweek,occurrencehour,MCI,Division,Hood_ID,Neighbourhood,Lat,Long,FID
-79.3752823,43.6463623,111591,GO-20171061955,2017-06-14T04:00:00.000Z,2017-06-14T04:00:00.000Z,Apartment,2130,210,Theft Over,2017,June,14,165,Wednesday ,20,2017,June,14,165,Wednesday ,9,Theft Over,D51,77,Waterfront Communities-The Island (77),43.6463623,-79.3752823,4001
-79.3019485,43.8121414,111599,GO-20171885935,2017-10-16T04:00:00.000Z,2017-10-18T04:00:00.000Z,Outside,2130,210,Theft Over,2017,October,18,291,Wednesday ,10,2017,October,16,289,Monday    ,19,Theft Over,D42    ,130,Milliken (130),43.8121414,-79.3019485,4002
-79.1856613,43.7666092,111639,GO-20171066844,2017-06-14T04:00:00.000Z,2017-06-15T04:00:00.000Z,Apartment,2130,210,Theft Over,2017,June,15,166,Thursday  ,16,2017,June,14,165,Wednesday ,15,Theft Over,D43,136,West Hill (136),43.7666092,-79.1856613,4003
-79.5569077,43.6101265,111717,GO-20172038430,2017-11-10T05:00:00.000Z,2017-11-10T05:00:00.000Z,Commercial,2130,210,Theft Over,2017,November,10,314,Friday    ,19,2017,November,10,314,Friday    ,19,Theft Over,D22,14,Islington-City Centre West (14),43.6101265,-79.5569077,4004
-79.4110413,43.7293434,111849,GO-20171098628,2017-06-19T04:00:00.000Z,2017-06-20T04:00:00.000Z,House,2130,215,Theft Over - Bicycle,2017,June,20,171,Tuesday   ,8,2017,June,19,170,Monday    ,19,Theft Over,D32,105,Lawrence Park North (105),43.7293434,-79.4110413,4005
-79.3021698,43.765583,111854,GO-20171107852,2017-06-20T04:00:00.000Z,2017-06-21T04:00:00.000Z,Outside,2130,210,Theft Over,2017,June,21,172,Wednesday ,13,2017,June,20,171,Tuesday   ,7,Theft Over,D41,119,Wexford/Maryvale (119),43.765583,-79.3021698,4006
-79.4000473,43.6579514,111868,GO-20171952585,2017-10-28T04:00:00.000Z,2017-10-28T04:00:00.000Z,Other,2130,210,Theft Over,2017,October,28,301,Saturday  ,14,2017,October,28,301,Saturday  ,3,Theft Over,D52,79,University (79),43.6579514,-79.4000473,4007
-79.4129028,43.7692757,111891,GO-20171693896,2017-06-20T04:00:00.000Z,2017-09-18T04:00:00.000Z,Apartment,2130,210,Theft Over,2017,September,18,261,Monday    ,14,2017,June,20,171,Tuesday   ,14,Theft Over,D32,51,Willowdale East (51),43.7692757,-79.4129028,4008
-79.3682632,43.6512794,111897,GO-20171118733,2017-06-20T04:00:00.000Z,2017-06-22T04:00:00.000Z,Apartment,2130,210,Theft Over,2017,June,22,173,Thursday  ,23,2017,June,20,171,Tuesday   ,23,Theft Over,D51,73,Moss Park (73),43.6512794,-79.3682632,4009
-79.3021698,43.765583,111898,GO-20171115340,2017-06-20T04:00:00.000Z,2017-06-22T04:00:00.000Z,Other,2130,210,Theft Over,2017,June,22,173,Thursday  ,14,2017,June,20,171,Tuesday   ,17,Theft Over,D41,119,Wexford/Maryvale (119),43.765583,-79.3021698,4010
-79.363685600000011,43.7815971,111951,GO-20172044757,2017-11-10T05:00:00.000Z,2017-11-11T05:00:00.000Z,Other,2132,200,Theft From Motor Vehicle Over,2017,November,11,315,Saturday  ,21,2017,November,10,314,Friday    ,20,Theft Over,D33,47,Don Valley Village (47),43.7815971,-79.3636856,4011
-79.4190292,43.655159,112033,GO-20173042340,2017-11-20T05:00:00.000Z,2017-11-21T05:00:00.000Z,Commercial,2130,210,Theft Over,2017,November,21,325,Tuesday   ,18,2017,November,20,324,Monday    ,22,Theft Over,D14,80,Palmerston-Little Italy (80),43.655159,-79.4190292,4012
-79.1990814,43.8002815,112084,GO-20173068046,2017-11-25T05:00:00.000Z,2017-11-25T05:00:00.000Z,Outside,2130,210,Theft Over,2017,November,25,329,Saturday  ,13,2017,November,25,329,Saturday  ,0,Theft Over,D42    ,131,Rouge (131),43.8002815,-79.1990814,4013
-79.4411392,43.6538544,112095,GO-20171963840,2017-10-28T04:00:00.000Z,2017-10-30T04:00:00.000Z,Outside,2130,210,Theft Over,2017,October,30,303,Monday    ,11,2017,October,28,301,Saturday  ,20,Theft Over,D11    ,83,Dufferin Grove (83),43.6538544,-79.4411392,4014
-79.2988358,43.8052788,112097,GO-20171964563,2017-10-28T04:00:00.000Z,2017-11-02T04:00:00.000Z,Commercial,2130,210,Theft Over,2017,November,2,306,Thursday  ,12,2017,October,28,301,Saturday  ,12,Theft Over,D42,130,Milliken (130),43.8052788,-79.2988358,4015
-79.3670502,43.6515503,112099,GO-20171964819,2017-10-28T04:00:00.000Z,2017-10-30T04:00:00.000Z,Apartment,2130,215,Theft Over - Bicycle,2017,October,30,303,Monday    ,13,2017,October,28,301,Saturday  ,15,Theft Over,D51,73,Moss Park (73),43.6515503,-79.3670502,4016
-79.3813324,43.6511726,112213,GO-20173115513,2017-11-25T05:00:00.000Z,2017-12-02T05:00:00.000Z,Commercial,2133,200,Theft Over - Shoplifting,2017,December,2,336,Saturday  ,11,2017,November,25,329,Saturday  ,14,Theft Over,D52,76,Bay Street Corridor (76),43.6511726,-79.3813324,4017
-79.5328293,43.6810913,112214,GO-20173075127,2017-11-25T05:00:00.000Z,2017-11-26T05:00:00.000Z,Other,2132,200,Theft From Motor Vehicle Over,2017,November,26,330,Sunday    ,15,2017,November,25,329,Saturday  ,20,Theft Over,D23,7,Willowridge-Martingrove-Richview (7),43.6810913,-79.5328293,4018
-79.552269,43.6150703,112216,GO-20173109972,2017-11-25T05:00:00.000Z,2017-12-01T05:00:00.000Z,Commercial,2130,210,Theft Over,2017,December,1,335,Friday    ,16,2017,November,25,329,Saturday  ,18,Theft Over,D22,14,Islington-City Centre West (14),43.6150703,-79.552269,4019
-79.3028412,43.6833725,112251,GO-20171099075,2017-06-20T04:00:00.000Z,2017-06-20T04:00:00.000Z,House,2132,200,Theft From Motor Vehicle Over,2017,June,20,171,Tuesday   ,9,2017,June,20,171,Tuesday   ,0,Theft Over,D55,62,East End-Danforth (62),43.6833725,-79.3028412,4020
-79.4302216,43.6729431,112257,GO-20171227866,2017-06-28T04:00:00.000Z,2017-07-09T04:00:00.000Z,Commercial,2130,210,Theft Over,2017,July,9,190,Sunday    ,9,2017,June,28,179,Wednesday ,14,Theft Over,D13,94,Wychwood (94),43.6729431,-79.4302216,4021
-79.448143,43.6850243,112266,GO-20173094080,2017-11-25T05:00:00.000Z,2017-11-29T05:00:00.000Z,Commercial,2130,210,Theft Over,2017,November,29,333,Wednesday ,11,2017,November,25,329,Saturday  ,12,Theft Over,D13,109,Caledonia-Fairbank (109),43.6850243,-79.448143,4022
-79.3813324,43.6511726,112267,GO-20173094612,2017-11-25T05:00:00.000Z,2017-11-29T05:00:00.000Z,Commercial,2133,200,Theft Over - Shoplifting,2017,November,29,333,Wednesday ,13,2017,November,25,329,Saturday  ,7,Theft Over,D52,76,Bay Street Corridor (76),43.6511726,-79.3813324,4023
-79.552269,43.6150703,112270,GO-20173088706,2017-11-25T05:00:00.000Z,2017-11-28T05:00:00.000Z,Commercial,2130,210,Theft Over,2017,November,28,332,Tuesday   ,15,2017,November,25,329,Saturday  ,18,Theft Over,D22,14,Islington-City Centre West (14),43.6150703,-79.552269,4024
-79.3984451,43.6538963,112380,GO-20171994594,2017-11-03T04:00:00.000Z,2017-11-03T04:00:00.000Z,Outside,2132,200,Theft From Motor Vehicle Over,2017,November,3,307,Friday    ,22,2017,November,3,307,Friday    ,21,Theft Over,D52,78,Kensington-Chinatown (78),43.6538963,-79.3984451,4025
-79.1904678,43.7494316,112394,GO-20171995295,2017-11-03T04:00:00.000Z,2017-11-04T04:00:00.000Z,Outside,2130,210,Theft Over,2017,November,4,308,Saturday  ,0,2017,November,3,307,Friday    ,15,Theft Over,D43,140,Guildwood (140),43.7494316,-79.1904678,4026
