"lat","lng","program","agency","address","phone"
"43.7624","-79.18","Acad�mie Alexandre-Dumas","Conseil Scolaire -Viamonde","255 Coronation Dr","905-732-4280"
"43.6934","-79.2996","Access Alliance Play Group","Access Alliance Multicultural Health and Community Services","60 Secord Ave","416-324-8677"
"43.6917","-79.3018","Access Alliance Workshop","Access Alliance Multicultural Health and Community Services","91 Barrington Ave","416-324-8677"
"43.7731","-79.3894","Adventure Place - Bayview Park","Adventure Place","2945 Bayview Ave","416-744-7650"
"43.7846","-79.2812","Agincourt Community Services Association","West Scarborough Neighbourhood Community Centre","4155 Sheppard Ave E","416-299-9872"
"43.8192","-79.2788","Agnes Macphail Public School","Malvern Family Resource Centre","112 Goldhawk Trail","416-281-1376"
"43.7398","-79.5844","Albion Library Satellite","Braeburn Neighbourhood Place Incorporated","1515 Albion Rd","416-745-3113"
"43.6515","-79.3991","Alexandra Park Moms & Tots Drop-In","Alexandra Park Residents Association/Community Centre","105 Grange Crt","416-603-9603"
"43.7064","-79.4859","Amesbury Park Library","Macaulay Child Development Centre","1565 Lawrence Ave W","416-783-7298"
"43.6632","-79.4666","Annette Public Library Drop-In","Macaulay Child Development Centre","145 Annette St","416-783-7298"
"43.8042","-79.2618","Anson Taylor","Malvern Family Resource Centre","20 Placentia Blvd","416-281-1376"
"43.6662","-79.3222","Applegrove Parent Child Drop-In","Applegrove Community Complex","60 Woodfield Rd","416-461-8143"
"43.6729","-79.3183","Applewood Connection Drop-In","Applegrove Community Complex","31 Eastwood Rd","416-461-8143"
"43.7207","-79.4324","Barbara Frum Library","Macaulay Child Development Centre","20 Covington Rd","416-783-7298"
"43.774","-79.4453","Bathurst - Finch Hub","SickKids Centre for Community Mental Health","540 Finch Ave W","416-633-4035"
"43.751","-79.2442","Bendale Library","Family Day Care Services","1515 Danforth Rd","416-438-1800"
"43.6956","-79.2633","Birchmount Bluffs Centre","Birchmount Bluffs Neighbourhood Centre","93 Birchmount Rd","416-396-4310"
"43.7221","-79.5109","Black Creek Community Health Centre","Jane/Finch Community and Family Centre","2202 Jane St","416-663-2733 x 264"
"43.7347","-79.3807","Bob Rumball Centre for The Deaf Resource Program","The Bob Rumball Canadian Centre of Excellence for The Deaf","2395 Bayview Ave","416-449-9651"
"43.728","-79.5491","Braeburn Jr School","Braeburn Neighbourhood Place Incorporated","15 Tandridge Cres","416-747-0641"
"43.7595","-79.3261","Brookbanks Library","Family Day Care Services","210 Brookbanks Dr","416-496-2601"
"43.7025","-79.4959","Brookhaven Public School","Macaulay Child Development Centre","70 Brookhaven Dr","416-783-7298"
"43.794","-79.2346","Burrows Hall Library","Malvern Family Resource Centre","1081 Progress Ave","416-284-4184"
"43.7543","-79.4214","Cameron Public School (Summer Satellite)","Adventure Place","211 Cameron Ave","416-494-1579 x 301"
"43.6902","-79.3968","Canadian Mothercraft Society - Main Site","Canadian Mothercraft Society","32 Heath St W","416-920-3515 x 100"
"43.6564","-79.3988","Cecil Community Centre Satellite","College-Montrose Children's Place","58 Cecil St","416-392-1090"
"43.773","-79.4498","Centennial Public Library","SickKids Centre for Community Mental Health","578 Finch Ave W","416-633-4035"
"43.708","-79.3939","Central Eglinton Community Centre","Central Eglinton Community Centre","160 Eglinton Ave E","416-392-0511"
"43.6381","-79.3927","Centre Francophone De Toronto Le Coin","Centre Francophone De Toronto","20 Lower Spadina Ave","416-922-2672 x 275"
"43.8006","-79.3008","Centre for Immigrant & Community Services","West Scarborough Neighbourhood Community Centre","3850 Finch Ave E","416-940-3344"
"43.7437","-79.2216","Cliffcrest Family Resource Program","Cliffcrest Community Centre","14 Centre St","416-267-6297 x 227"
"43.6468","-79.4178","College Montrose Children's Place - Main Site","College-Montrose Children's Place","180 Shaw St","416-532-8100"
"43.6838","-79.4731","Community Action Resource Centre Family Drop-In","Community Action Resource Centre in Toronto","1652 Keele St","416-654-0299"
"43.7264","-79.2624","Corvette Family Resource Centre","East Scarborough Boys' and Girls' Club","30 Corvette Ave","416-396-5822"
"43.6396","-79.4406","Creating Together Parkdale","Creating Together","1497 Queen St W","416-537-1004"
"43.7014","-79.2849","Creative Child Family Resource Centre","West Scarborough Neighbourhood Community Centre","313 Pharmacy Ave","416-755-9215 x 236"
"43.7084","-79.2712","Danforth Gardens Jr Public School","West Scarborough Neighbourhood Community Centre","20 Santamonica Blvd","416-266-8289"
"43.6709","-79.4551","Davenport Perth Neighbourhood Community Health Centre - Main Site","Davenport-Perth Neighbourhood & Community Health Centre","1900 Davenport Rd","416-588-3755"
"43.759","-79.5718","Delta Humber Summit","Delta Family Resource Centre","2990 Islington Ave","416-747-1172"
"43.74","-79.5099","Delta Humewood - Jane & Sheppard","Delta Family Resource Centre","1900 Sheppard Ave W","416-948-0459"
"43.6844","-79.4875","Dennis Ave Community School","Macaulay Child Development Centre","17 Dennis Ave","416-653-3270"
"43.7708","-79.3281","Don Valley East - Main Site","Family Day Care Services","332 Consumers Rd","416-496-2601"
"43.6924","-79.3384","Donlands Family Resource Centre","EYET Early Learning Centre - Annie's Place","1108 Greenwood Ave","416-686-3390"
"43.7388","-79.3476","Donway Covenant United Church","TNO - The Neighbourhood Organization","230 The Donway W","416-421-8997"
"43.7525","-79.4321","Earl Bales Community Centre Satellite","SickKids Centre for Community Mental Health","4169 Bathurst St","416-633-4035"
"43.7288","-79.5469","Early Learning Child and Family Centre","Braeburn Neighbourhood Place Incorporated","75 Tandridge Cres","416-745-3113"
"43.646","-79.429","EarlyON @ Alexander Muir/Gladstone Public School","Toronto District School Board","108 Gladstone Ave","416-393-9140"
"43.6894","-79.4992","EarlyON @ Bala Avenue Community","Toronto District School Board","6 Bala Ave","416-394-2210"
"43.6718","-79.3387","EarlyON @ Blake Street Jr Public School","Toronto District School Board","21 Boultbee Ave","416-393-9415"
"43.7124","-79.33","EarlyON @ Blessed John XXIII","Toronto Catholic District School Board","175 Grenoble Dr","416-393-5348"
"43.674","-79.458","EarlyON @ Blessed Pope Paul Vi","Toronto Catholic District School Board","270 Laughton Ave","416-393-5374"
"43.661","-79.3335","EarlyON @ Bruce Jr Public School","Toronto District School Board","51 Larchmount Ave","416-393-0670"
"43.6723","-79.4602","EarlyON @ Carlton Village Jr & Sr","Toronto District School Board","315 Osler St","416-393-1600"
"43.7458","-79.2153","EarlyON @ Cedar Drive Jr","Toronto District School Board","21 Gatesview Ave","416-396-6120"
"43.7271","-79.5146","EarlyON @ Chalkfarm Public School","Toronto District School Board","100 Chalkfarm Dr","416-395-2160"
"43.6934","-79.4753","EarlyON @ Charles E. Webster Public School","Toronto District School Board","1900 Keele St","416-394-2250"
"43.6485","-79.4097","EarlyON @ Charles G Fraser Jr Public School","Toronto District School Board","79 Manning Ave","416-393-1830"
"43.7985","-79.3313","EarlyON @ Chester Le Jr Public School","Toronto District School Board","201 Chester Le Blvd","416-396-6145"
"43.6636","-79.3794","EarlyON @ Church Street Jr Public School","Toronto District School Board","83 Alexander St","416-393-1250"
"43.6968","-79.2927","EarlyON @ Crescent Town","Toronto District School Board","4 Massey Sq","416-396-2340"
"43.7625","-79.5153","EarlyON @ Driftwood Public School","Toronto District School Board","265 Driftwood Ave","416-395-2350"
"43.662","-79.3489","EarlyON @ Dundas Jr Public School","Toronto District School Board","935 Dundas St E","416-393-9565"
"43.759","-79.1915","EarlyON @ Eastview Public School","Toronto District School Board","20 Waldock St","416-396-6210"
"43.6383","-79.5672","EarlyON @ Eatonville Public School","Toronto District School Board","15 Rossburn Dr","416-394-7040"
"43.7662","-79.266","EarlyON @ Edgewood","Toronto District School Board","230 Birkdale Rd","416-396-6215"
"43.7364","-79.5902","EarlyON @ Elmbank","Toronto District School Board","10 Pittsboro Dr","416-394-7560"
"43.6682","-79.4225","EarlyON @ Essex Jr & Sr Public School","Toronto District School Board","50 Essex St","416-393-0717"
"43.6916","-79.4556","EarlyON @ Fairbank Memorial","Toronto District School Board","555 Harvie Ave","416-394-2333"
"43.7519","-79.5201","EarlyON @ Firgrove Public School","Toronto District School Board","270 Firgrove Cres","416-395-2420"
"43.7201","-79.4444","EarlyON @ Flemington Public School","Toronto District School Board","10 Flemington Rd","416-395-4992"
"43.7056","-79.3436","EarlyON @ Fraser Mustard","Toronto District School Board","82 Thorncliffe Park Dr","416-396-3050"
"43.679","-79.4642","EarlyON @ General Mercer Jr Public School","Toronto District School Board","30 Turnberry Ave","416-393-1414"
"43.7019","-79.2997","EarlyON @ George Webster Public School","Toronto District School Board","2 Cedarcrest Blvd","416-396-2375"
"43.7054","-79.4791","EarlyON @ George anderson","Toronto District School Board","30 George Anderson Dr","416-395-5000"
"43.7382","-79.2543","EarlyON @ Glen Ravine Jr","Toronto District School Board","11 Gadsby Dr","416-396-6280"
"43.7152","-79.3325","EarlyON @ Grenoble Public School","Toronto District School Board","9 Grenoble Dr","416-397-2906"
"43.7276","-79.2319","EarlyON @ H A Halbert Junior Public School","Toronto District School Board","31 Mccowan Rd","416-396-6300"
"43.7944","-79.3005","EarlyON @ Highland Heights Jr","Toronto District School Board","35 Glendower Circt","416-396-6335"
"43.7812","-79.3033","EarlyON @ Holy Spirit","Toronto Catholic District School Board","3530 Sheppard Ave E","416-393-5282"
"43.6474","-79.5281","EarlyON @ Islington Jr","Toronto District School Board","44 Cordova Ave","416-394-7870"
"43.6949","-79.4365","EarlyON @ J R Wilcox Community","Toronto District School Board","231 Ava Rd","416-394-2388"
"43.744","-79.2401","EarlyON @ John Mccrae Public School","Toronto District School Board","431 Mccowan Rd","416-396-6395"
"43.7669","-79.1759","EarlyON @ Joseph Brant Public School","Toronto District School Board","270 Manse Rd","416-396-6400"
"43.7848","-79.3459","EarlyON @ Kingslake Public School","Toronto District School Board","90 Kingslake Rd","416-395-2610"
"43.6978","-79.551","EarlyON @ Kingsview Village Jr Public School","Toronto District School Board","1 York Rd","416-394-7950"
"43.7452","-79.25","EarlyON @ Knob Hill","Toronto District School Board","25 Seminole Ave","416-396-6415"
"43.6608","-79.3672","EarlyON @ Lord Dufferin Jr & Sr Public School","Toronto District School Board","350 Parliament St","416-393-1760"
"43.7965","-79.2907","EarlyON @ Lynnwood Heights","Toronto District School Board","50 Southlawn Dr","416-396-6430"
"43.7148","-79.4905","EarlyON @ Maple Leaf Public School","Toronto District School Board","301 Culford Rd","416-395-2670"
"43.6498","-79.3649","EarlyON @ Market Lane Jr & Sr Public School","Toronto District School Board","246 The Esplanade","416-393-1300"
"43.7392","-79.2259","EarlyON @ Mason Road Jr","Toronto District School Board","78 Mason Rd","416-396-6460"
"43.7891","-79.1973","EarlyON @ Military Trail Public School","Toronto District School Board","701 Military Trail","416-396-3262"
"43.6601","-79.3404","EarlyON @ Morse Street Jr Public School","Toronto District School Board","180 Carlaw Ave","416-393-9494"
"43.6583","-79.3608","EarlyON @ Nelson Mandela Park Jr","Toronto District School Board","440 Shuter St","416-393-1620"
"43.6439","-79.4085","EarlyON @ Niagara Street Jr Public School","Toronto District School Board","222 Niagara St","416-393-1372"
"43.7165","-79.3044","EarlyON @ O'Connor Public School","Toronto District School Board","1665 O'Connor Dr","416-397-2980"
"43.6949","-79.2827","EarlyON @ Oakridge Junior Public School","Toronto District School Board","110 Byng Ave","416-396-6505"
"43.7161","-79.4315","EarlyON @ Our Lady of Assumption","Toronto Catholic District School Board","125 Glenmount Ave","416-393-5265"
"43.6703","-79.3421","EarlyON @ Pape Avenue Jr Public School","Toronto District School Board","220 Langley Ave","416-393-9470"
"43.6431","-79.437","EarlyON @ Parkdale Jr & Sr Public School","Toronto District School Board","78 Seaforth Ave","416-393-1280"
"43.682","-79.57","EarlyON @ Parkfield Public School","Toronto District School Board","31 Redgrave Dr","416-394-7960"
"43.7899","-79.4349","EarlyON @ Pleasant Public School","Toronto District School Board","288 Pleasant Ave","416-395-2770"
"43.6922","-79.51","EarlyON @ Portage Trail Public School","Toronto District School Board","100 Sidney Belsey Cres","416-394-4260"
